Country_Name;Country_Code;Continent_Name;Continent_Code;Population_1960;Population_2018;GDP_per_capita_1960;GDP_per_capita_2018;Life_expectancy_at_birth_1960;Life_expectancy_at_birth_2018
Namibia;NAM;Africa;AF;634142;2273430;;5032.889762;46.483;63.373
Nauru;NRU;Oceania;OC;4375;11853;;8013.357608;;
Nepal;NPL;Asia;AS;10105050;26906926;50.3049875;792.5528906;35.583;70.478
Netherlands;NLD;Europe;EU;11486631;16865008;1068.784587;45175.23189;73.39268293;81.76097561
New Caledonia;NCL;Oceania;OC;79000;268050;;;58.63902439;77.14878049
New Zealand;NZL;Oceania;OC;2371800;4509700;2312.949992;38559.54704;71.23658537;81.85853659
Nicaragua;NIC;Americas;NA;1773129;6142733;126.2483816;2049.84969;46.998;74.275
Niger;NER;Africa;AF;3388764;19240157;132.6521624;360.8533841;35.053;62.024
Nigeria;NGA;Africa;AF;45138458;176404902;92.96046972;2730.430324;36.976;54.332
Northern Mariana Islands;MNP;Oceania;OC;9979;55305;;16690.5701;;
Norway;NOR;Europe;EU;3581239;5137232;1441.75566;74355.51586;73.5497561;82.81219512
Oman;OMN;Asia;AS;551740;4027260;;16150.88726;42.672;77.633
Pakistan;PAK;Asia;AS;44988690;195306825;82.39972982;1356.667756;45.299;67.114
Palau;PLW;Oceania;OC;9771;17626;;15871.84263;;
Panama;PAN;Americas;NA;1132997;3901315;474.0940179;13630.30797;60.864;78.329
Papua New Guinea;PNG;Oceania;OC;2255859;7946731;102.1766134;2679.345589;38.935;64.263
Paraguay;PRY;Americas;SA;1903982;6599526;;5406.703857;63.881;74.131
Peru;PER;Americas;SA;10155015;30090359;253.2648216;6229.101696;48.012;76.516
Philippines;PHL;Asia;AS;26269734;100513138;254.4589452;2867.15199;61.105;71.095
Poland;POL;Europe;EU;29637450;38011735;;12572.30788;67.6804878;77.75365854
Portugal;PRT;Europe;EU;8857716;10401062;360.4992985;19242.36647;63.27290244;81.72439024
Puerto Rico;PRI;Americas;NA;2358000;3534874;717.5148431;29764.05389;68.71960976;79.77819512
Qatar;QAT;Asia;AS;47384;2459198;;63039.01655;61.094;80.1
Romania;ROU;Europe;EU;18406905;19908979;;8977.437382;65.64243902;75.4097561
Russian Federation;RUS;Europe;EU;119897000;143819666;;9313.787542;66.05529268;72.65731707
Rwanda;RWA;Africa;AF;2935582;11083635;40.53711462;728.0818794;42.616;68.7
Samoa;WSM;Oceania;OC;108629;192221;;4073.665929;56.902;73.187
San Marino;SMR;Europe;EU;15432;32948;;45774.58789;;
Sao Tome and Principe;STP;Africa;AF;64302;195727;;1595.861423;50.378;70.17
Saudi Arabia;SAU;Asia;AS;4086539;30916994;;20627.93278;45.638;74.998
Senegal;SEN;Africa;AF;3206749;14174731;312.9937437;1218.764246;38.223;67.665
Serbia;SRB;Europe;EU;;7130576;;5585.117938;;75.53902439
Seychelles;SYC;Africa;AF;41700;91359;288.0581594;14745.34146;;72.84146341
Sierra Leone;SLE;Africa;AF;2317636;7017144;138.9387598;588.2284527;31.566;54.309
Singapore;SGP;Asia;AS;1646400;5469724;428.05898;55646.61875;65.65982927;83.14634146
Sint Maarten (Dutch part);SXM;Americas;NA;;37685;;;;
Slovak Republic;SVK;Europe;EU;4068095;5418649;;16309.07324;69.92365854;77.16585366
Slovenia;SVN;Europe;EU;1584720;2061980;;20881.76677;68.97804878;81.02926829
Solomon Islands;SLB;Oceania;OC;117849;587079;;1914.46793;48.123;72.835
Somalia;SOM;Africa;AF;2755972;13423576;65.47959732;293.4552357;36.976;57.068
South Africa;ZAF;Africa;AF;17099840;54545991;443.009816;5734.633629;48.406;63.857
South Sudan;SSD;Africa;AF;2842724;10554883;;1119.651332;31.697;57.604
